19:45:37.862 > 16 channel Servo test!
19:45:38.386 > Angle: 0 pulse: 125
19:45:38.887 > Angle: 20 pulse: 175
19:45:39.388 > Angle: 40 pulse: 225
19:45:39.889 > Angle: 60 pulse: 275
19:45:40.390 > Angle: 80 pulse: 325
19:45:40.892 > Angle: 100 pulse: 375
19:45:41.393 > Angle: 120 pulse: 425
19:45:41.894 > Angle: 140 pulse: 475
19:45:42.395 > Angle: 160 pulse: 525
19:45:42.897 > Angle: 180 pulse: 575
19:45:44.397 > Angle: 0 pulse: 125
19:45:44.899 > Angle: 20 pulse: 175
19:45:45.400 > Angle: 40 pulse: 225
19:45:45.901 > Angle: 60 pulse: 275
19:45:46.402 > Angle: 80 pulse: 325
19:45:46.903 > Angle: 100 pulse: 375
19:45:47.405 > Angle: 120 pulse: 425
19:45:47.906 > Angle: 140 pulse: 475
19:45:48.407 > Angle: 160 pulse: 525
19:45:48.908 > Angle: 180 pulse: 575
19:45:50.409 > Angle: 0 pulse: 125
19:45:50.910 > Angle: 20 pulse: 175
19:45:51.411 > Angle: 40 pulse: 225
19:45:51.912 > Angle: 60 pulse: 275
19:45:52.414 > Angle: 80 pulse: 325
19:45:52.915 > Angle: 100 pulse: 375
19:45:53.416 > Angle: 120 pulse: 425
19:45:53.917 > Angle: 140 pulse: 475
19:45:54.419 > Angle: 160 pulse: 525
19:45:54.920 > Angle: 180 pulse: 575
19:45:56.421 > Angle: 0 pulse: 125
19:45:56.922 > Angle: 20 pulse: 175
19:45:57.423 > Angle: 40 pulse: 225
19:45:57.924 > Angle: 60 pulse: 275
19:45:58.425 > Angle: 80 pulse: 325
19:45:58.927 > Angle: 100 pulse: 375
19:45:59.428 > Angle: 120 pulse: 425
19:45:59.929 > Angle: 140 pulse: 475
19:46:00.430 > Angle: 160 pulse: 525
19:46:00.931 > Angle: 180 pulse: 575
19:46:02.432 > Angle: 0 pulse: 125
19:46:02.933 > Angle: 20 pulse: 175
19:46:03.435 > Angle: 40 pulse: 225
19:46:03.936 > Angle: 60 pulse: 275
19:46:04.437 > Angle: 80 pulse: 325
