17:44:32.990 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:33.110 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:33.230 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:44:33.350 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:44:33.470 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:33.590 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:33.710 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:33.830 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:33.950 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.070 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.190 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.310 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.431 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.551 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.671 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.791 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:34.911 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.031 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.151 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.271 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.391 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.510 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.631 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.751 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.870 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:35.990 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:36.109 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:44:36.229 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:44:36.350 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:44:36.470 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:44:36.589 > Stop | servo y-axis (up) | servo turn 0 degree | gripper off
17:44:36.710 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:36.830 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:36.950 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.070 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.190 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.310 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.430 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.550 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.670 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.790 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:37.910 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.030 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.150 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.270 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.390 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.510 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.630 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.750 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.870 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:38.990 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.110 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.230 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.350 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.470 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.590 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.710 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.830 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:39.950 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.070 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.190 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.310 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.430 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.550 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.670 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.790 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:40.910 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.030 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.150 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.270 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.390 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.510 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.630 > Left | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.750 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.870 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:41.990 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.110 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.230 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.350 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.470 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.590 > Right | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.710 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.830 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:42.950 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.070 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.190 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.310 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.430 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.550 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.670 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.790 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:43.910 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.030 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.150 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.270 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.390 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.510 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.630 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.750 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.870 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:44.990 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.110 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.230 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.350 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.470 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.590 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.710 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.830 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:45.950 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.070 > Stop | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.190 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.310 > backward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.430 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.550 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.670 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
17:44:46.790 > forward | servo y-axis (up) | servo turn 0 degree | gripper on
