17:43:36.332 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:36.452 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:36.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:36.691 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:36.812 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:36.932 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.052 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.172 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.292 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.411 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.532 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.652 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.771 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:37.892 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.011 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.131 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.251 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.372 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.492 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.612 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.732 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.852 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:38.972 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:39.092 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:39.212 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:39.331 > forward | servo y-axis (up) | servo turn 90 degree | gripper on
17:43:39.451 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
17:43:39.571 > forward | servo y-axis (up) | servo turn 90 degree | gripper off
